2022-11-09 12:04:43.061405; sum_nums; 12 12 ; 24.
2022-11-09 12:04:43.061405; cube_volume; 777 ; 469097433.
2022-11-09 12:04:43.061405; my_print; Hi there ; None.
2022-11-09 12:04:43.061405; my_factorial; 54 ; 230843697339241380472092742683027581083278564571807941132288000000000000.
2022-11-09 12:04:43.061405; my_randint; 27 54 ; 33.
2022-11-09 12:04:45.566536; sum_nums; 12 12 ; 24.
2022-11-09 12:04:45.566536; cube_volume; 777 ; 469097433.
2022-11-09 12:04:45.566536; my_print; Hi there ; None.
2022-11-09 12:04:45.566536; my_factorial; 54 ; 230843697339241380472092742683027581083278564571807941132288000000000000.
2022-11-09 12:04:45.567546; my_randint; 27 54 ; 49.
